strain_id	gene_name
20130417LHLT263	chitinase
20130417LHLT268	chitinase
20130417LHLT274	chitinase
20130417LHLT279	chitinase
20130417LHLT283	chitinase
20130417LHLT284	chitinase
20130417LHLT286	chitinase
20130417LHLT287	chitinase
20130417LHLT293	chitinase
20130417LHLT296	chitinase
20130417LHLT298	chitinase
20130417LHLT301	chitinase
20130715ZYLT001	chitinase
20130722ZNT003	chitinase
20130722ZNT010	chitinase
20130722ZNT023	chitinase
20130725CFT001	chitinase
20130725CFT012	chitinase
20130726ZYLT005	chitinase
20130726ZYLT008	chitinase
20130726ZYLT011	chitinase
20130726ZYLT012	chitinase
20130726ZYLT019	chitinase
20130726ZYLT020	chitinase
20130726ZYLT021	chitinase
20130727ZYLT027	chitinase
20130807CFT015	chitinase
20130327WXXT077	chitinase
20130327WXXT083	chitinase
20130327WXXT086	chitinase
20130327WXXT095	chitinase
20130327WXXT099	chitinase
20130327WXXT101	chitinase
20130327WXXT102	chitinase
20130327WXXT103	chitinase
20130327WXXT104	chitinase
20130327WXXT105	chitinase
20130327WXXT107	chitinase
20130327WXXT108	chitinase
20130328YJPT082	chitinase
20130328YJPT095	chitinase
20130328YJPT102	chitinase
20130328YJPT108	chitinase
20130328YJPT122	chitinase
20130401YJPT135	chitinase
20130401YJPT174	chitinase
20130401YJPT175	chitinase
20130403LHLT104	chitinase
20130403LHLT108	chitinase
20130403LHLT111	chitinase
20130403LHLT112	chitinase
20130403LHLT113	chitinase
20130403LHLT114	chitinase
20130406YJPT181	chitinase
20130406YJPT189	chitinase
20130406YJPT198	chitinase
20130406YJPT204	chitinase
20130406YJPT220	chitinase
20130406YJPT228	chitinase
20130406YJPT246	chitinase
20130407WXXT116	chitinase
20130407WXXT119	chitinase
20130407WXXT121	chitinase
20101220NXTT080	chitinase
20120412LHLT139	chitinase
20121213NXTT001	chitinase
20121213NXTT002	chitinase
20121213NXTT003	chitinase
20121213NXTT004	chitinase
20121213NXTT005	chitinase
20121213NXTT006	chitinase
20121213NXTT007	chitinase
